DATE,CPI
1/1/2010,214.738
2/1/2010,214.728
3/1/2010,215.55
4/1/2010,215.721
5/1/2010,215.717
6/1/2010,215.476
7/1/2010,215.451
8/1/2010,215.361
9/1/2010,216.166
10/1/2010,216.534
11/1/2010,217.105
12/1/2010,217.419
1/1/2011,219.251
2/1/2011,220.732
3/1/2011,223.193
4/1/2011,224.098
5/1/2011,225.295
6/1/2011,225.857
7/1/2011,227.178
8/1/2011,228.492
9/1/2011,229.927
10/1/2011,229.992
11/1/2011,229.947
12/1/2011,230.424
1/1/2012,230.948
2/1/2012,230.612
3/1/2012,231.051
4/1/2012,231.397
5/1/2012,231.32
6/1/2012,231.713
7/1/2012,231.658
8/1/2012,231.853
9/1/2012,231.789
10/1/2012,232.398
11/1/2012,232.883
12/1/2012,233.374
1/1/2013,233.696
2/1/2013,233.526
3/1/2013,233.58
4/1/2013,233.776
5/1/2013,233.184
6/1/2013,233.809
7/1/2013,233.893
8/1/2013,234.073
9/1/2013,234.04
10/1/2013,234.219
11/1/2013,234.144
12/1/2013,234.318
1/1/2014,234.722
2/1/2014,235.781
3/1/2014,237.055
4/1/2014,237.942
5/1/2014,239.611
6/1/2014,239.682
7/1/2014,240.154
8/1/2014,240.692
9/1/2014,241.328
10/1/2014,241.62
11/1/2014,241.912
12/1/2014,242.893
1/1/2015,242.553
2/1/2015,242.598
3/1/2015,241.633
4/1/2015,241.106
5/1/2015,241.107
6/1/2015,241.922
7/1/2015,242.25
8/1/2015,242.864
9/1/2015,243.198
10/1/2015,243.284
11/1/2015,242.606
12/1/2015,241.88
1/1/2016,241.558
2/1/2016,241.741
3/1/2016,240.414
4/1/2016,240.341
5/1/2016,239.348
6/1/2016,238.763
7/1/2016,238.38
8/1/2016,238.133
9/1/2016,237.88
10/1/2016,237.714
11/1/2016,237.438
12/1/2016,237.147
1/1/2017,237.072
2/1/2017,237.824
3/1/2017,238.387
4/1/2017,238.568
5/1/2017,238.893
6/1/2017,238.494
7/1/2017,238.904
8/1/2017,238.804
9/1/2017,238.852
10/1/2017,239.02
11/1/2017,238.94
12/1/2017,239.371
1/1/2018,239.641
2/1/2018,239.16
3/1/2018,239.23
4/1/2018,239.798
5/1/2018,239.148
6/1/2018,239.239
7/1/2018,239.693
8/1/2018,239.941
9/1/2018,239.935
10/1/2018,239.404
11/1/2018,239.99
12/1/2018,240.786
1/1/2019,241.32
2/1/2019,242.077
3/1/2019,242.603
4/1/2019,241.484
5/1/2019,241.969
6/1/2019,241.371
7/1/2019,241.134
8/1/2019,241.014
9/1/2019,241.435
10/1/2019,241.892
11/1/2019,242.474
12/1/2019,242.527
1/1/2020,243.179
2/1/2020,244.115
3/1/2020,245.207
4/1/2020,251.29
5/1/2020,253.635
6/1/2020,254.85
7/1/2020,252.215
8/1/2020,252.148
9/1/2020,251.303
10/1/2020,251.478
11/1/2020,251.241
12/1/2020,252.009
1/1/2021,252.27
2/1/2021,252.828
3/1/2021,253.313
4/1/2021,254.314
5/1/2021,255.314
6/1/2021,257.176
7/1/2021,258.599
8/1/2021,259.544
9/1/2021,262.631
10/1/2021,264.983
11/1/2021,267.303
12/1/2021,268.356
1/1/2022,270.996
2/1/2022,274.747
3/1/2022,278.735
4/1/2022,281.653
5/1/2022,285.711
6/1/2022,288.618
7/1/2022,292.495
