Date,U.S. All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon)
Jan-2010,2.769
Feb-2010,2.699
Mar-2010,2.824
Apr-2010,2.9
May-2010,2.89
Jun-2010,2.785
Jul-2010,2.782
Aug-2010,2.783
Sep-2010,2.757
Oct-2010,2.853
Nov-2010,2.913
Dec-2010,3.048
Jan-2011,3.148
Feb-2011,3.264
Mar-2011,3.615
Apr-2011,3.852
May-2011,3.96
Jun-2011,3.735
Jul-2011,3.705
Aug-2011,3.696
Sep-2011,3.667
Oct-2011,3.506
Nov-2011,3.443
Dec-2011,3.326
Jan-2012,3.44
Feb-2012,3.64
Mar-2012,3.907
Apr-2012,3.958
May-2012,3.791
Jun-2012,3.596
Jul-2012,3.498
Aug-2012,3.78
Sep-2012,3.91
Oct-2012,3.812
Nov-2012,3.521
Dec-2012,3.381
Jan-2013,3.391
Feb-2013,3.736
Mar-2013,3.779
Apr-2013,3.638
May-2013,3.675
Jun-2013,3.689
Jul-2013,3.661
Aug-2013,3.645
Sep-2013,3.604
Oct-2013,3.42
Nov-2013,3.322
Dec-2013,3.357
Jan-2014,3.392
Feb-2014,3.434
Mar-2014,3.606
Apr-2014,3.735
May-2014,3.75
Jun-2014,3.766
Jul-2014,3.688
Aug-2014,3.565
Sep-2014,3.484
Oct-2014,3.255
Nov-2014,2.997
Dec-2014,2.632
Jan-2015,2.208
Feb-2015,2.301
Mar-2015,2.546
Apr-2015,2.555
May-2015,2.802
Jun-2015,2.885
Jul-2015,2.88
Aug-2015,2.726
Sep-2015,2.462
Oct-2015,2.387
Nov-2015,2.26
Dec-2015,2.144
Jan-2016,2.057
Feb-2016,1.872
Mar-2016,2.071
Apr-2016,2.216
May-2016,2.371
Jun-2016,2.467
Jul-2016,2.345
Aug-2016,2.284
Sep-2016,2.327
Oct-2016,2.359
Nov-2016,2.295
Dec-2016,2.366
Jan-2017,2.458
Feb-2017,2.416
Mar-2017,2.437
Apr-2017,2.528
May-2017,2.503
Jun-2017,2.46
Jul-2017,2.414
Aug-2017,2.494
Sep-2017,2.761
Oct-2017,2.621
Nov-2017,2.678
Dec-2017,2.594
Jan-2018,2.671
Feb-2018,2.705
Mar-2018,2.709
Apr-2018,2.873
May-2018,2.987
Jun-2018,2.97
Jul-2018,2.928
Aug-2018,2.914
Sep-2018,2.915
Oct-2018,2.943
Nov-2018,2.736
Dec-2018,2.457
Jan-2019,2.338
Feb-2019,2.393
Mar-2019,2.594
Apr-2019,2.881
May-2019,2.946
Jun-2019,2.804
Jul-2019,2.823
Aug-2019,2.707
Sep-2019,2.681
Oct-2019,2.724
Nov-2019,2.693
Dec-2019,2.645
Jan-2020,2.636
Feb-2020,2.533
Mar-2020,2.329
Apr-2020,1.938
May-2020,1.961
Jun-2020,2.17
Jul-2020,2.272
Aug-2020,2.272
Sep-2020,2.274
Oct-2020,2.248
Nov-2020,2.2
Dec-2020,2.284
Jan-2021,2.42
Feb-2021,2.587
Mar-2021,2.898
Apr-2021,2.948
May-2021,3.076
Jun-2021,3.157
Jul-2021,3.231
Aug-2021,3.255
Sep-2021,3.272
Oct-2021,3.384
Nov-2021,3.491
Dec-2021,3.406
Jan-2022,3.413
Feb-2022,3.611
Mar-2022,4.322
Apr-2022,4.213
May-2022,4.545
Jun-2022,5.032
Jul-2022,4.668
Aug-2022,4.087
Sep-2022,3.817
Oct-2022,3.935
Nov-2022,3.799
Dec-2022,3.324
Jan-2023,3.445
Feb-2023,3.501
Mar-2023,3.535
Apr-2023,3.711
May-2023,3.666
Jun-2023,3.684
Jul-2023,3.712
Aug-2023,3.954
Sep-2023,3.958
Oct-2023,3.742
Nov-2023,3.443
Dec-2023,3.257
Jan-2024,3.197
Feb-2024,3.328
Mar-2024,3.542
Apr-2024,3.733
May-2024,3.725
Jun-2024,3.576
Jul-2024,3.6
Aug-2024,3.507
Sep-2024,3.338
,
